problem_number,Day,mode,initial MSE,MSE,added_train_set_labels,train_point_df_initial
75,2,GP,0.7513513513513513,0.11143695014662756,[ 141 2725 3720  346 2084 2510  486  422  205 2106 2054 2565],"[ 141 2725 1481 2421 1057    3  930 2670 3533 2159   71 1946  948 1722
 1346 2499  343 1850 1857  208 2034]"
76,0,GP,0.4027027027027027,0.18005540166204986,[1993  920 1010 2636 1114 3634  449 2755  526 1905  127],[1993  920]
76,1,GP,0.4027027027027027,0.1168091168091168,[1993  920  346   66 1924 2877   56  913  955  629 2304 1857],[1993  920 1010 2636 1114 3634  449 2755  526 1905  127]
76,2,GP,0.4027027027027027,0.07624633431085044,[1993  920  422  185 2236 2250  243 2159  454 2034 2036 2314],"[1993  920 1010 2636 1114 3634  449 2755  526 1905  127  346   66 1924
 2877   56  913  955  629 2304 1857]"
77,0,GP,0.6594594594594595,0.2,[2054  696 3445 3533  312  930 3567 3634 2499 2879 1200 2064],[2054  696]
77,1,GP,0.6594594594594595,0.13142857142857142,[2054  696 2250 1878  489 2157 1350   23 2036 1858  271  214],[2054  696 3445 3533  312  930 3567 3634 2499 2879 1200 2064]
77,2,GP,0.6594594594594595,0.08235294117647059,[2054  696 2304 2163 1346 2636  343 2305 3720 2264  454 2485],"[2054  696 3445 3533  312  930 3567 3634 2499 2879 1200 2064 2250 1878
  489 2157 1350   23 2036 1858  271  214]"
78,0,GP,0.5324324324324324,0.20555555555555555,[2036  680 1254 2421 2565 3597 2034  343  205 3668 1720 2099],[2036  680]
78,1,GP,0.5324324324324324,0.11142857142857143,[2036  680  489 1344 2894 2513  422   23 2064 1849  955 2499],[2036  680 1254 2421 2565 3597 2034  343  205 3668 1720 2099]
78,2,GP,0.5324324324324324,0.09090909090909091,[2036  680 1858  761   71 1946  214 2304 1857  208 2305],"[2036  680 1254 2421 2565 3597 2034  343  205 3668 1720 2099  489 1344
 2894 2513  422   23 2064 1849  955 2499]"
79,0,GP,0.5756756756756757,0.1763085399449036,[1878 2565 1237 1484 2842 1206 2829   98  108],[1878 2565]
79,1,GP,0.5756756756756757,0.12429378531073447,[1878 2565  387 1346  185 2485  243 1932 1896  955 2034],[1878 2565 1237 1484 2842 1206 2829   98  108]
79,2,GP,0.5756756756756757,0.08115942028985507,[1878 2565  629 2499 2513 2201  449 1989  761 2036 1858],"[1878 2565 1237 1484 2842 1206 2829   98  108  387 1346  185 2485  243
 1932 1896  955 2034]"
80,0,GP,0.6243243243243243,0.19444444444444445,[2233 2338 1057 1905 2755 2054 2948 2894  761  454  127 3488],[2233 2338]
80,1,GP,0.6243243243243243,0.09116809116809117,[2233 2338 1400 1350  243 1849  338 2314  343 2510 1946  312],[2233 2338 1057 1905 2755 2054 2948 2894  761  454  127 3488]
80,2,GP,0.6243243243243243,0.07917888563049853,[2233 2338 1845 2499 2264  346  271 3720 2084 2304 2398],"[2233 2338 1057 1905 2755 2054 2948 2894  761  454  127 3488 1400 1350
  243 1849  338 2314  343 2510 1946  312]"
81,0,GP,0.6189189189189189,0.19834710743801653,[2676   90 1010 2670  526 1237   98 2831 3533],[2676   90]
81,1,GP,0.6189189189189189,0.1440677966101695,[2676   90   56  108  930   23 2829  346 2510  602  449],[2676   90 1010 2670  526 1237   98 2831 3533]
81,2,GP,0.6189189189189189,0.10174418604651163,[2676   90  338  348  454  127 2876  629 2036 2499  271  422],"[2676   90 1010 2670  526 1237   98 2831 3533   56  108  930   23 2829
  346 2510  602  449]"
82,0,GP,0.6837837837837838,0.16298342541436464,[1878 2728 2943 2755 1788 2510 1924 3702 2157 2876],[1878 2728]
82,1,GP,0.6837837837837838,0.09090909090909091,[1878 2728 3285   71  629 2031  951 2304 2084 2159 2636 2499],[1878 2728 2943 2755 1788 2510 1924 3702 2157 2876]
82,2,GP,0.6837837837837838,0.06140350877192982,[1878 2728 1941 3720  387 1896 2314  271  385  243 2398 2828],"[1878 2728 2943 2755 1788 2510 1924 3702 2157 2876 3285   71  629 2031
  951 2304 2084 2159 2636 2499]"
83,0,GP,0.5432432432432432,0.18005540166204986,[2084  610 1357 2554 1233 2894  312 1941 2305  346  761],[2084  610]
83,1,GP,0.5432432432432432,0.10227272727272728,[2084  610  948 3601  343  159 2157 2358  626   56  930],[2084  610 1357 2554 1233 2894  312 1941 2305  346  761]
83,2,GP,0.5432432432432432,0.08163265306122448,[2084  610  422   54 2064 2670 2499 2304  387 1857 1932],"[2084  610 1357 2554 1233 2894  312 1941 2305  346  761  948 3601  343
  159 2157 2358  626   56  930]"
84,0,GP,0.2945945945945946,0.31666666666666665,[2036 2832 2539 1233 1021  127  159 2670 3161   64 2064 1692],[2036 2832]
84,1,GP,0.2945945945945946,0.10541310541310542,[2036 2832 2877  530 1363 2510  346  955 2485 2157  422],[2036 2832 2539 1233 1021  127  159 2670 3161   64 2064 1692]
84,2,GP,0.2945945945945946,0.07624633431085044,[2036 2832  243 2054 1844  629   56 2499  761 3720 1905  449],"[2036 2832 2539 1233 1021  127  159 2670 3161   64 2064 1692 2877  530
 1363 2510  346  955 2485 2157  422]"
85,0,GP,0.5513513513513514,0.16022099447513813,[1484   90 2987   64 2264 1844 1343 2636   56 2510 2565],[1484   90]
85,1,GP,0.5513513513513514,0.08806818181818182,[1484   90  108 1384 2157 1934 1849 2201  127 2499 2031 2036],[1484   90 2987   64 2264 1844 1343 2636   56 2510 2565]
85,2,GP,0.5513513513513514,0.06705539358600583,[1484   90  955 1858  346  312  526 2513  629 3720],"[1484   90 2987   64 2264 1844 1343 2636   56 2510 2565  108 1384 2157
 1934 1849 2201  127 2499 2031 2036]"
86,0,GP,0.5621621621621622,0.1712707182320442,[2031 2513 2499 1200  761  508 1529 2036 2264 3285],[2031 2513]
86,1,GP,0.5621621621621622,0.07954545454545454,[2031 2513 1905 3271 2034  127   73  955   23 1353 2240 3702],[2031 2513 2499 1200  761  508 1529 2036 2264 3285]
86,2,GP,0.5621621621621622,0.06976744186046512,[2031 2513   98 1850 2305  346  208 2510  422 1237],"[2031 2513 2499 1200  761  508 1529 2036 2264 3285 1905 3271 2034  127
   73  955   23 1353 2240 3702]"
87,0,GP,0.327027027027027,0.17777777777777778,[ 127 2602 2565 1104 3255 2464 3161 2031   71 1031  208  243],[ 127 2602]
87,1,GP,0.327027027027027,0.08522727272727272,[ 127 2602 2084 1692 1346 2099 3533 3702  626 2510],[ 127 2602 2565 1104 3255 2464 3161 2031   71 1031  208  243]
87,2,GP,0.327027027027027,0.07602339181286549,[ 127 2602  422   18 2100 3448 2513 2499 2304 2201 3720  454],"[ 127 2602 2565 1104 3255 2464 3161 2031   71 1031  208  243 2084 1692
 1346 2099 3533 3702  626 2510]"
88,0,GP,0.13243243243243244,0.175,[2305  283 2036  159 2828 1481 1237 1200 1456 1031 2084  208],[2305  283]
88,1,GP,0.13243243243243244,0.09714285714285714,[2305  283 1363  629 2163 2636 2485 2304 1896 1878 1858  454],[2305  283 2036  159 2828 1481 1237 1200 1456 1031 2084  208]
88,2,GP,0.13243243243243244,0.061764705882352944,[2305  283 2201 1946  309 3720 2314  343  348 1845  422 2236],"[2305  283 2036  159 2828 1481 1237 1200 1456 1031 2084  208 1363  629
 2163 2636 2485 2304 1896 1878 1858  454]"
89,0,GP,0.2594594594594595,0.26373626373626374,[2091 2305 1010  526 2583 1529 1237   98],[2091 2305]
89,1,GP,0.2594594594594595,0.22535211267605634,[2091 2305 2236  108 1721 2157  208  343 2894 2031  913],[2091 2305 1010  526 2583 1529 1237   98]
89,2,GP,0.2594594594594595,0.08115942028985507,[2091 2305  972 3285 1849 2304 2084 3702  338 2499 3720  454],"[2091 2305 1010  526 2583 1529 1237   98 2236  108 1721 2157  208  343
 2894 2031  913]"
90,0,GP,0.6351351351351351,0.2631578947368421,[2157 3376 2670 1237 1071 2510 1057 2099 3544 1878   64],[2157 3376]
90,1,GP,0.6351351351351351,0.11048158640226628,[2157 3376 1384  626   66 3702 1941 2774 2513 3720],[2157 3376 2670 1237 1071 2510 1057 2099 3544 1878   64]
90,2,GP,0.6351351351351351,0.07536231884057971,[2157 3376   73 2034 2499  271 2304  208 1857  338],"[2157 3376 2670 1237 1071 2510 1057 2099 3544 1878   64 1384  626   66
 3702 1941 2774 2513 3720]"
91,0,GP,0.4081081081081081,0.18282548476454294,[3567   54 3026 2636   66  836 3668   73 2499 1720 2565],[3567   54]
91,1,GP,0.4081081081081081,0.09116809116809117,[3567   54 2513 2828   71 2064 1850 2201  629 1989 1946 1237],[3567   54 3026 2636   66  836 3668   73 2499 1720 2565]
91,2,GP,0.4081081081081081,0.06158357771260997,[3567   54 3720  343 1857 2304  338 2305 2036 2579  208  486],"[3567   54 3026 2636   66  836 3668   73 2499 1720 2565 2513 2828   71
 2064 1850 2201  629 1989 1946 1237]"
92,0,GP,0.5486486486486486,0.14166666666666666,[1153 2034 2565 1233 1010 1026  271  343  185 3597 2510 1878],[1153 2034]
92,1,GP,0.5486486486486486,0.125,[1153 2034  489 2054  761 1021 1850  338  629  955],[1153 2034 2565 1233 1010 1026  271  343  185 3597 2510 1878]
92,2,GP,0.5486486486486486,0.07894736842105263,[1153 2034 2305 3720 1946 2159 1858  454 1896  836 2828  422],"[1153 2034 2565 1233 1010 1026  271  343  185 3597 2510 1878  489 2054
  761 1021 1850  338  629  955]"
